"heidelberg ,bangalore","chemistry, organic"
,multidisciplinary sciences
los angeles,polymer science
stuttgart,"chemistry, inorganic & nuclear ,chemistry, organic"
cambridge,polymer science
cambridge,"chemistry, physical ,materials science, multidisciplinary"
lund,"chemistry, inorganic & nuclear ,crystallography"
"cardiff ,turku ,jyvaskyla","chemistry, inorganic & nuclear ,crystallography"
vancouver,"chemistry, inorganic & nuclear"
oxford,"chemistry, inorganic & nuclear ,chemistry, organic"
"saratov ,andizhan","chemistry, inorganic & nuclear"
villeurbanne,"chemistry, physical"
gainesville,polymer science
guelph,"chemistry, inorganic & nuclear ,crystallography"
lund,"chemistry, inorganic & nuclear ,crystallography"
"newark ,wilmington ,eindhoven","chemistry, physical"
,polymer science
"la jolla ,urbana","chemistry, organic"
,"chemistry, inorganic & nuclear"
bristol,"chemistry, inorganic & nuclear ,chemistry, organic"
davis,"chemistry, multidisciplinary"
dover,"chemistry, organic"
bangalore,"chemistry, organic"
,"chemistry, inorganic & nuclear ,chemistry, organic"
sapporo,"chemistry, multidisciplinary"
"newark ,milan","chemistry, inorganic & nuclear"
bethlehem,"chemistry, multidisciplinary"
moscow,"chemistry, multidisciplinary"
sakai,"chemistry, multidisciplinary"
,"chemistry, multidisciplinary"
funabashi,"chemistry, multidisciplinary"
akron,polymer science
los angeles,polymer science
strasbourg,"chemistry, inorganic & nuclear ,chemistry, organic"
messina,"chemistry, inorganic & nuclear ,chemistry, organic"
,multidisciplinary sciences
pasadena,"chemistry, multidisciplinary"
gainesville,polymer science
annandale,polymer science
,polymer science
,"chemistry, physical"
moscow,"chemistry, physical"
,"chemistry, multidisciplinary"
,"chemistry, physical"
,"chemistry, physical"
belfast,"chemistry, physical"
"rueil malmaison ,chiayi","chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
bangi,"chemistry, physical"
uxbridge,"chemistry, physical"
,"chemistry, physical"
,"chemistry, physical"
pasadena,"chemistry, physical"
amsterdam,"chemistry, physical"
,"chemistry, physical"
ghent,"chemistry, physical"
,"chemistry, physical"
berkeley,"chemistry, multidisciplinary"
"pasadena ,irvine","chemistry, multidisciplinary"
serdang,"chemistry, multidisciplinary"
new york,"chemistry, inorganic & nuclear ,chemistry, organic"
iowa city,"chemistry, inorganic & nuclear ,chemistry, organic"
"pisa ,florence ,bologna","chemistry, inorganic & nuclear ,chemistry, organic"
,"chemistry, organic"
newcastle upon tyne,"chemistry, inorganic & nuclear"
milwaukee,"chemistry, physical ,physics, condensed matter"
ithaca,"chemistry, multidisciplinary"
amsterdam,"chemistry, physical"
"graz ,halle ,merseburg",polymer science
,"chemistry, multidisciplinary"
bloomington,"chemistry, inorganic & nuclear"
rochester,polymer science
,"chemistry, multidisciplinary"
