ID,CT,lat,lon,SUBJECTS,CNT
4,stuttgart,48.7754181,9.1817588,"chemistry, inorganic & nuclear ,chemistry, organic",3.890371758
23,bangalore,12.9715987,77.5945627,"chemistry, organic",4.912023005
61,berkeley,37.8715926,-122.272747,"chemistry, multidisciplinary",3.890371758
110,moscow,55.75,37.6166667,"chemistry, physical",4.737669618
129,groningen,53.2193835,6.5665018,"chemistry, inorganic & nuclear ,chemistry, organic",2.791759469
138,cambridge,42.3736158,-71.1097335,"chemistry, multidisciplinary",5.976733742
148,gainesville,29.6516344,-82.3248262,polymer science,4.555348061
152,cambridge,42.3736158,-71.1097335,"chemistry, inorganic & nuclear ,chemistry, organic",5.976733742
187,cambridge,42.3736158,-71.1097335,"chemistry, inorganic & nuclear",5.976733742
190,"pasadena ,irvine ,wilmington",34.1477849,-118.1445155,"chemistry, inorganic & nuclear ,chemistry, organic",6.010635294
190,"pasadena ,irvine ,wilmington",33.6839473,-117.7946942,"chemistry, inorganic & nuclear ,chemistry, organic",4.091042453
190,"pasadena ,irvine ,wilmington",34.2257255,-77.9447102,"chemistry, inorganic & nuclear ,chemistry, organic",2.945910149
204,liege,50.6325574,5.5796662,"chemistry, physical",4.433987204
228,vancouver,49.261226,-123.1139268,"chemistry, multidisciplinary",3.833213344
239,"villeurbanne ,bayreuth ,villeurbanne",45.771944,4.8901709,"chemistry, multidisciplinary",5.060443011
239,"villeurbanne ,bayreuth ,villeurbanne",49.9456399,11.5713346,"chemistry, multidisciplinary",2.791759469
239,"villeurbanne ,bayreuth ,villeurbanne",45.771944,4.8901709,"chemistry, multidisciplinary",5.060443011
250,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
268,"pasadena ,irvine",34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
268,"pasadena ,irvine",33.6839473,-117.7946942,"chemistry, multidisciplinary",4.091042453
290,leeds,53.801279,-1.548567,"chemistry, inorganic & nuclear",4.295836866
338,ufa,54.7833333,56.0333333,multidisciplinary sciences,2.386294361
364,w lafayette,40.4258686,-86.9080655,"chemistry, multidisciplinary",4.688879454
392,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
403,gainesville,29.6516344,-82.3248262,"chemistry, multidisciplinary",4.555348061
443,chestnut hill,40.0703334,-75.2070644,"chemistry, multidisciplinary",5.65396035
458,"villeurbanne ,villeurbanne ,artix",45.771944,4.8901709,"chemistry, inorganic & nuclear ,chemistry, organic",5.060443011
458,"villeurbanne ,villeurbanne ,artix",45.771944,4.8901709,"chemistry, inorganic & nuclear ,chemistry, organic",5.060443011
458,"villeurbanne ,villeurbanne ,artix",43.397087,-0.572282,"chemistry, inorganic & nuclear ,chemistry, organic",2.098612289
466,rahway,40.6081591,-74.2776468,"chemistry, multidisciplinary",2.098612289
475,berlin,52.524268,13.40629,"chemistry, organic",5.787491743
478,graz,47.070714,15.439504,polymer science,3.302585093
494,pasadena,34.1477849,-118.1445155,"chemistry, multidisciplinary",6.010635294
504,"london ,coventry ,auckland",51.5081289,-0.128005,"chemistry, inorganic & nuclear",5.418840608
504,"london ,coventry ,auckland",52.406822,-1.519693,"chemistry, inorganic & nuclear",2.386294361
504,"london ,coventry ,auckland",-36.8484597,174.7633315,"chemistry, inorganic & nuclear",3.302585093
546,"villeurbanne ,villeurbanne ,artix",45.771944,4.8901709,"chemistry, multidisciplinary",5.060443011
546,"villeurbanne ,villeurbanne ,artix",45.771944,4.8901709,"chemistry, multidisciplinary",5.060443011
546,"villeurbanne ,villeurbanne ,artix",43.397087,-0.572282,"chemistry, multidisciplinary",2.098612289
550,"villeneuve dascq ,wroclaw",50.623334,3.145,"chemistry, multidisciplinary",3.079441542
550,"villeneuve dascq ,wroclaw",51.1078852,17.0385376,"chemistry, multidisciplinary",3.197224577
560,toulouse,43.604652,1.444209,"chemistry, inorganic & nuclear ,chemistry, organic",4.135494216
